page-2,page-3,page-4,page-5,page-6,page-7
https://www.allrecipes.com/recipe/244215/avocado-strawberry-smoothie/,https://www.allrecipes.com/recipe/178133/green-slime-smoothie/,https://www.allrecipes.com/recipe/275521/strawberry-lime-cilantro-smoothie/,https://www.allrecipes.com/recipe/235557/strawberry-kiwi-smoothie/,https://www.allrecipes.com/recipe/257584/chef-vs-smoothie-bowl/,https://www.allrecipes.com/recipe/282563/my-green-protein-smoothie/
https://www.allrecipes.com/recipe/72701/papaya-surprise-smoothie/,https://www.allrecipes.com/recipe/247143/toddler-smoothie/,https://www.allrecipes.com/recipe/142909/strawberry-orange-coconut-smoothie/,https://www.allrecipes.com/recipe/234661/strawberry-smoothie-with-oj/,https://www.allrecipes.com/recipe/236295/crawford-berry-smoothie/,
https://www.allrecipes.com/recipe/242087/pbnj-workday-smoothie/,https://www.allrecipes.com/recipe/237481/tasty-strawberry-smoothie/,https://www.allrecipes.com/recipe/265909/green-glow-smoothie-bowl/,https://www.allrecipes.com/recipe/255892/pbj-smoothie/,https://www.allrecipes.com/recipe/238190/strawberry-fields-smoothie/,
https://www.allrecipes.com/recipe/280811/very-berry-anti-inflammatory-smoothie/,https://www.allrecipes.com/recipe/254730/strawberry-peach-smoothie-from-yoplait/,https://www.allrecipes.com/recipe/74575/tropical-strawberry/,https://www.allrecipes.com/recipe/246268/tofu-fruit-julius/,https://www.allrecipes.com/recipe/260242/fruit-smoothies-from-aunt-sues-honey/,
https://www.allrecipes.com/recipe/201977/nobodys-strawberry-watermelon-shakedown/,https://www.allrecipes.com/recipe/244386/backyard-berry-bowl/,https://www.allrecipes.com/recipe/20428/cool-off-smoothie/,https://www.allrecipes.com/recipe/276213/mango-strawberry-smoothie-with-yogurt/,https://www.allrecipes.com/recipe/255243/chocolate-covered-strawberries-smoothie/,
https://www.allrecipes.com/recipe/217847/strawberry-shortcake-smoothie/,https://www.allrecipes.com/recipe/254773/rainier-cherry-berry-smoothie/,https://www.allrecipes.com/recipe/215170/strawberry-pineapple-smoothie-ii/,https://www.allrecipes.com/recipe/241613/healthy-oatmeal-strawberry-smoothie/,https://www.allrecipes.com/recipe/219099/berry-bloody-smoothie/,
https://www.allrecipes.com/recipe/20521/amys-healthy-fruity/,https://www.allrecipes.com/recipe/215188/best-smoothie-ever/,https://www.allrecipes.com/recipe/237258/ginger-berry-smoothie/,https://www.allrecipes.com/recipe/258304/fruit-fusion-smoothie/,https://www.allrecipes.com/recipe/275375/strawberry-avocado-mint-smoothie/,
https://www.allrecipes.com/recipe/244354/fruity-3-step-acai-bowl-healthy-ice-cream/,https://www.allrecipes.com/recipe/244826/berry-smoothie-bowl/,https://www.allrecipes.com/recipe/215354/melon-lime-cooler/,https://www.allrecipes.com/recipe/246629/green-smoothie-by-karen/,https://www.allrecipes.com/recipe/279625/pb-j-smoothie/,
https://www.allrecipes.com/recipe/237877/purple-power-punch-smoothie-my-kids-fave/,https://www.allrecipes.com/recipe/247273/fruit-and-vegetable-smoothie/,https://www.allrecipes.com/recipe/222996/4th-of-july-blast-smoothie/,https://www.allrecipes.com/recipe/229473/fresh-strawberry-banana-sunrise-smoothie-with-truvia-natural-sweetener/,https://www.allrecipes.com/recipe/238069/summery-afternoon-smoothie/,
https://www.allrecipes.com/recipe/233045/creamy-strawberry-pineapple-smoothie/,https://www.allrecipes.com/recipe/33664/banana-berry-smoothie-ii/,https://www.allrecipes.com/recipe/238645/strawberry-pear-pineapple-and-mint-smoothie/,https://www.allrecipes.com/recipe/238646/chocolate-strawberry-sapodilla-smoothie/,https://www.allrecipes.com/recipe/74065/yummy-smoothies/,
https://www.allrecipes.com/recipe/255381/strawberry-banana-avocado-smoothie/,https://www.allrecipes.com/recipe/104476/cranberry-orange-power-smoothie/,https://www.allrecipes.com/recipe/273736/skinny-vegan-green-smoothie/,https://www.allrecipes.com/recipe/237332/silky-strawberry-smoothie/,https://www.allrecipes.com/recipe/259607/the-jackson-detox-smoothie/,
https://www.allrecipes.com/recipe/258311/strawberry-lemon-twist-smoothie/,https://www.allrecipes.com/recipe/265908/power-pink-pitaya-smoothie-bowl/,https://www.allrecipes.com/recipe/232888/berry-patch-smoothie/,https://www.allrecipes.com/recipe/237077/spinach-and-berry-smoothie-with-truvia-natural-sweetener/,https://www.allrecipes.com/recipe/233979/cjs-epic-strawberry-banana-smoovie/,
https://www.allrecipes.com/recipe/20844/grandmas-strawberry-milkshake/,https://www.allrecipes.com/recipe/242179/watermelon-strawberry-mango-lemonade-smoothie/,https://www.allrecipes.com/recipe/218556/basil-strawberry-mango-smoothie/,https://www.allrecipes.com/recipe/245809/strawberry-colada-smoothie/,https://www.allrecipes.com/recipe/254346/matcha-berry-swirl-smoothie/,
https://www.allrecipes.com/recipe/244799/morning-energy-booster-smoothie/,https://www.allrecipes.com/recipe/228853/pre-packaged-smoothies/,https://www.allrecipes.com/recipe/256895/berry-smoothie-from-carnation-breakfast-essentials/,https://www.allrecipes.com/recipe/222059/banana-split-smoothie/,https://www.allrecipes.com/recipe/32373/berry-surprise/
